iter	RMSE
0	841.2682722
1	794.9638683
2	751.8811707
3	711.6266299
4	673.1405648
5	639.2019758
6	606.7663623
7	576.4277457
8	547.4400609
9	520.9141859
10	496.0906119
11	471.3661017
12	449.9345191
13	429.4450617
14	409.5089423
15	390.5151432
16	372.5248057
17	356.7194658
18	342.0095702
19	327.3223793
20	314.0203581
21	301.5681986
22	289.2892238
23	278.8237048
24	269.1297388
25	259.2978122
26	250.7591099
27	242.8551646
28	234.9905409
29	227.8785134
30	221.4315494
31	215.4708038
32	210.0933528
33	204.9306345
34	200.1987489
35	195.0772618
36	190.2166436
37	185.6083163
38	181.8652683
39	176.9052595
40	173.5207655
41	170.5073957
42	167.6391291
43	164.2350988
44	161.4509399
45	159.1939492
46	157.1089094
47	155.0428656
48	153.2371091
49	151.6097324
50	148.2402562
51	145.9836012
52	144.4453092
53	141.7889076
54	140.3721546
55	138.6560352
56	136.6744623
57	134.8083888
58	133.8828722
59	132.7424233
60	131.7850283
61	129.5262454
62	128.1194245
63	126.9635971
64	125.2052188
65	124.3418402
66	123.268203
67	122.6116433
68	122.0813001
69	121.1964838
70	120.0569718
71	119.3366618
72	118.7687201
73	118.2339056
74	117.7296525
75	117.3209452
76	116.5852104
77	114.9331565
78	113.8423517
79	113.4645738
80	112.8911044
81	112.4245051
82	111.2422084
83	110.7139843
84	110.3297178
85	109.3514984
86	108.3121411
87	107.8991174
88	106.9179428
89	106.5395891
90	106.2146059
91	105.624026
92	105.2604746
93	104.8877093
94	104.6668492
95	104.3378018
96	103.4941695
97	102.9477259
98	102.5694859
99	101.7912186
100	101.5034107
101	101.2167671
102	101.0337363
103	100.7166411
104	100.5620965
105	99.86797375
106	99.6220652
107	99.13805494
108	98.9436218
109	98.07162683
110	97.54129507
111	96.66789984
112	96.32543548
113	96.07106175
114	95.7754637
115	95.55577337
116	95.00287857
117	94.45753451
118	94.25791684
119	94.09723142
120	93.85798138
121	93.46394148
122	93.34277698
123	93.01685911
124	92.50085992
125	92.04535242
126	91.67693396
127	91.26348873
128	91.08246032
129	90.90132688
130	90.76788981
131	90.43141211
132	89.67048597
133	89.66785065
134	89.53759334
135	89.29544242
136	89.1026442
137	88.34801833
138	88.29319123
139	88.04499621
140	87.87198323
141	87.17925339
142	86.78138042
143	86.62851303
144	86.07589158
145	85.89286433
146	85.38921856
147	85.28487065
148	84.79585382
149	84.72815758
150	84.63904804
151	84.3384914
152	84.24022718
153	83.89605068
154	83.31670484
155	83.11305213
156	82.76436045
157	82.67230277
158	82.05762395
159	81.61645538
160	81.4742509
161	81.11898473
162	81.01852862
163	80.92442265
164	80.83377928
165	80.74696636
166	80.375915
167	80.24134731
168	80.21071606
169	80.20574545
170	79.82016874
171	79.54711199
172	79.46126608
173	79.37866756
174	79.03922893
175	78.96007249
176	78.84431529
177	78.59170347
178	78.51592104
