iter	Passed	Remaining
0	9	9300
1	18	9000
2	26	8751
3	35	8766
4	44	8831
5	52	8733
6	61	8705
7	70	8691
8	78	8604
9	85	8462
10	95	8557
11	103	8533
12	111	8482
13	120	8469
14	128	8444
15	136	8409
16	144	8376
17	152	8342
18	159	8244
19	167	8214
20	175	8204
21	184	8198
22	191	8150
23	200	8145
24	208	8123
25	216	8120
26	225	8142
27	234	8153
28	242	8121
29	252	8161
30	260	8135
31	269	8143
32	277	8144
33	286	8131
34	294	8113
35	302	8089
36	309	8063
37	318	8062
38	326	8040
39	334	8025
40	342	8015
41	351	8008
42	359	7989
43	368	8009
44	376	7996
45	384	7972
46	393	7970
47	401	7955
48	409	7948
49	418	7944
50	426	7936
51	434	7913
52	442	7909
53	450	7891
54	456	7848
55	464	7833
56	473	7829
57	480	7808
58	488	7797
59	496	7782
60	505	7777
61	513	7775
62	522	7765
63	528	7734
64	536	7718
65	544	7701
66	552	7692
67	561	7696
68	570	7696
69	579	7694
70	587	7689
71	594	7665
72	603	7661
73	611	7657
74	620	7652
75	627	7632
76	636	7631
77	644	7622
78	652	7612
79	661	7602
80	669	7598
81	677	7581
82	685	7574
83	693	7561
84	702	7558
85	710	7550
86	718	7543
87	726	7529
88	735	7523
89	743	7513
90	750	7498
91	759	7491
92	767	7481
93	775	7469
94	783	7462
95	792	7459
96	799	7444
97	807	7431
98	814	7417
99	822	7406
100	830	7393
101	837	7377
102	846	7375
103	856	7376
104	864	7367
105	873	7366
106	881	7357
107	889	7349
108	898	7345
109	906	7334
110	914	7324
111	923	7318
112	932	7317
113	940	7311
114	948	7299
115	956	7288
116	963	7272
117	972	7266
118	980	7259
119	988	7250
120	996	7241
121	1005	7239
122	1013	7223
123	1021	7218
124	1030	7211
125	1038	7206
126	1047	7201
127	1056	7194
128	1063	7183
129	1071	7172
130	1079	7160
131	1087	7152
132	1095	7143
133	1122	7256
134	1149	7366
135	1158	7362
136	1167	7356
137	1185	7402
138	1194	7397
139	1202	7388
140	1212	7384
141	1220	7377
142	1229	7371
143	1238	7361
144	1247	7353
145	1255	7342
146	1263	7330
147	1272	7323
148	1279	7310
149	1289	7305
150	1297	7294
151	1305	7283
152	1313	7271
153	1321	7259
154	1328	7242
155	1336	7233
156	1345	7223
157	1352	7209
158	1361	7202
159	1370	7197
160	1378	7183
161	1386	7174
162	1395	7163
163	1402	7148
164	1410	7137
165	1419	7131
166	1427	7120
167	1435	7111
168	1444	7101
169	1452	7093
170	1461	7084
171	1469	7076
172	1477	7063
173	1485	7051
174	1492	7037
175	1501	7029
176	1509	7020
177	1518	7010
178	1526	7002
179	1535	6993
180	1543	6983
181	1552	6975
182	1560	6966
183	1568	6954
184	1576	6943
185	1584	6933
186	1591	6917
187	1599	6907
188	1606	6892
189	1614	6881
190	1622	6872
191	1630	6863
192	1637	6848
193	1645	6836
194	1654	6828
195	1662	6820
196	1670	6810
197	1679	6800
198	1687	6793
199	1695	6783
200	1703	6773
201	1711	6763
202	1719	6750
203	1727	6739
204	1735	6731
205	1744	6722
206	1752	6713
207	1760	6704
208	1769	6695
209	1776	6684
210	1785	6675
211	1794	6668
212	1802	6660
213	1810	6650
214	1819	6642
215	1827	6633
216	1835	6621
217	1843	6612
218	1851	6603
219	1859	6593
220	1867	6583
221	1876	6577
222	1885	6569
223	1893	6557
224	1902	6552
225	1909	6539
226	1916	6526
227	1924	6514
228	1931	6502
229	1940	6495
230	1947	6481
231	1955	6473
232	1964	6466
233	1972	6457
234	1981	6448
235	1989	6439
236	1998	6432
237	2005	6421
238	2013	6411
239	2021	6402
240	2030	6395
241	2038	6385
242	2045	6373
243	2052	6360
244	2061	6352
245	2069	6343
246	2078	6335
247	2085	6325
248	2095	6320
249	2103	6310
250	2111	6301
251	2119	6291
252	2127	6282
253	2136	6274
254	2145	6268
255	2152	6255
256	2159	6244
257	2166	6231
258	2174	6220
259	2183	6213
260	2191	6205
261	2200	6197
262	2208	6189
263	2216	6179
264	2225	6172
265	2235	6167
266	2243	6159
267	2252	6151
268	2260	6144
269	2268	6134
270	2276	6124
271	2284	6114
272	2292	6105
273	2301	6098
274	2309	6088
275	2317	6079
276	2325	6070
277	2333	6061
278	2341	6050
279	2349	6042
280	2357	6031
281	2364	6019
282	2372	6010
283	2380	6002
284	2388	5993
285	2396	5982
286	2404	5973
287	2410	5960
288	2419	5952
289	2427	5942
290	2435	5934
291	2443	5924
292	2452	5917
293	2460	5908
294	2469	5901
295	2477	5891
296	2485	5882
297	2493	5874
298	2502	5865
299	2509	5855
300	2518	5848
301	2527	5840
302	2536	5834
303	2544	5826
304	2552	5816
305	2559	5805
306	2567	5796
307	2576	5787
308	2583	5777
309	2591	5768
310	2599	5759
311	2609	5753
312	2617	5745
313	2625	5736
314	2633	5726
315	2642	5718
316	2648	5707
317	2658	5701
318	2666	5692
319	2674	5683
320	2682	5674
321	2690	5665
322	2699	5657
323	2707	5648
324	2715	5639
325	2723	5630
326	2731	5622
327	2740	5614
328	2748	5605
329	2756	5597
330	2765	5588
331	2773	5580
332	2781	5571
333	2790	5563
334	2799	5556
335	2807	5547
336	2815	5538
337	2823	5529
338	2831	5521
339	2839	5512
340	2848	5504
341	2857	5497
342	2865	5488
343	2883	5498
344	2901	5509
345	2919	5518
346	2929	5513
347	2938	5504
348	2947	5498
349	2956	5490
350	2964	5480
351	2972	5472
352	2981	5464
353	2989	5456
354	2998	5447
355	3006	5439
356	3015	5430
357	3023	5422
358	3031	5413
359	3040	5404
360	3048	5396
361	3057	5387
362	3065	5379
363	3074	5371
364	3083	5363
365	3091	5354
366	3100	5347
367	3109	5339
368	3116	5329
369	3124	5320
370	3133	5312
371	3141	5303
372	3150	5295
373	3158	5285
374	3166	5278
375	3175	5269
376	3184	5262
377	3192	5253
378	3201	5246
379	3210	5237
380	3219	5230
381	3227	5221
382	3238	5216
383	3246	5208
384	3254	5198
385	3262	5189
386	3269	5179
387	3277	5169
388	3285	5160
389	3293	5151
390	3301	5141
391	3308	5131
392	3316	5122
393	3325	5114
394	3333	5105
395	3341	5097
396	3349	5087
397	3358	5079
398	3365	5070
399	3374	5061
400	3383	5053
401	3390	5043
402	3397	5032
403	3404	5022
404	3413	5014
405	3421	5005
406	3429	4996
407	3437	4988
408	3445	4979
409	3454	4970
410	3462	4961
411	3470	4953
412	3479	4944
413	3487	4936
414	3495	4926
415	3503	4918
416	3513	4911
417	3522	4904
418	3531	4896
419	3540	4888
420	3549	4881
421	3558	4873
422	3565	4863
423	3574	4855
424	3582	4847
425	3589	4836
426	3597	4827
427	3605	4818
428	3614	4810
429	3621	4801
430	3629	4791
